
Data collected for prey-predetor survey

Population	 Prey
 264.79200	 300.76500
 276.07500	 304.85500
 256.72000	 290.17600
 272.83500	 282.68100
 290.90100	 271.09900
 308.84700	 263.70200
 333.24700	 248.62700
 322.39000	 264.02100
 353.25400	 210.70800
 349.73800	 190.81400
 366.18900	 185.40600
 356.21200	 173.47400
 348.29600	 168.42600
 337.91200	 160.15700
***  Maximum location 
 360.66000	 149.72800
 367.35800	 148.93800
 346.51400	 140.28400
 335.78800	 138.61500
 329.75100	 145.63700
 307.05500	 138.35200
 302.28600	 113.05100
 291.58600	 104.86800
 278.11800	 142.77200
 258.57000	 121.34800
 249.25700	 149.63200
 222.48300	 159.89300
 226.94300	 194.73000
 185.67300	 184.92300
 187.63900	 195.52600
 133.01300	 219.32600
 133.55700	 236.35800
 106.57400	 251.96300
 105.02100	 262.57500
  93.29000	 273.72300
***  Minimum Region
  44.40200	 306.57900
  50.19000	 305.79500
  44.94500	 324.24300
****  End of minimum region 
  70.64300	 362.50000
  88.33300	 356.89200
  68.15300	 370.37500
  92.93500	 389.72600
 100.54000	 383.92000
  91.88400	 401.90000
 129.27300	 389.76800
 131.80200	 403.41000
 185.09900	 396.82700
 185.46300	 383.26700
 233.00200	 369.50200
 228.06300	 358.60900
 267.43900	 355.65000
 282.94600	 341.38000
 279.29200	 327.74700
 317.56200	 326.99800
 362.43000	 297.89800
 373.27100	 296.24100
 376.38300	 262.26500
 399.34900	 261.03000
 425.14700	 229.28200
 417.81900	 220.71400
 453.32700	 214.01000
 434.50800	 186.02400
 470.58300	 173.37900
 427.23000	 187.63500
 440.32200	 167.64500
 407.60200	 146.06400
 408.06500	 151.71900
 396.45200	 137.81000
 394.91300	 147.17900
 384.93900	 154.78600
 356.47000	 125.85000
 326.31500	 156.78600
 321.92400	 166.62900
 299.87800	 158.96300
 268.33700	 184.49900
 253.29000	 177.21100
 230.27000	 172.75000
 190.60700	 173.33000
 197.30500	 203.19600
 160.51900	 224.78200
 146.68700	 231.38100
 145.40600	 242.68300
 128.36200	 242.24600
 123.16400	 258.67900
 128.31100	 248.46700
 131.98700	 264.61000
 113.84700	 269.99800
 123.31400	 288.57500
*** second minimum 
 119.35800	 286.67900
 132.15600	 277.31700
 143.03900	 290.29400
 137.33000	 283.35800
 160.69300	 282.61500
 176.92200	 296.44900
 181.86300	 286.01700
 217.80300	 285.58900
 196.98000	 286.74100
 207.47700	 275.34700
 204.81900	 274.86600
 253.86800	 271.97000
 263.30700	 272.93900
